"Issuer Company","Issue Type","Listing Date","Issue Size","Subscribed","Issue Price","Listing Day Price","Current Price","52 Week High","52 Week Low","Recommendation by Dilip Davda"
"Kataria Industries Limited","SME","Jul 24, 2024","Rs 54.58 Cr","393.87x","Rs 96.00","Rs 191.50 (99.48%)","Rs 211.10 (119.9%)","","","Avoid"
"Macobs Technologies Limited","SME","Jul 24, 2024","Rs 19.46 Cr","202.32x","Rs 75.00","Rs 100.80 (34.4%)","Rs 101.90 (35.87%)","","","May apply"
"Tunwal E-Motors Limited","SME","Jul 23, 2024","Rs 115.64 Cr","12.31x","Rs 59.00","Rs 60.80 (3.05%)","Rs 52.20 (-11.53%)","","","May apply"
"Three M Paper Boards Limited","SME","Jul 22, 2024","Rs 39.83 Cr","171.33x","Rs 69.00","Rs 79.80 (15.65%)","Rs 69.72 (1.04%)","Rs 82.70 (Jul 23, 2024)","Rs 71.89 (Jul 25, 2024)","May apply"
"Sati Poly Plast Limited","SME","Jul 22, 2024","Rs 17.36 Cr","499.13x","Rs 130.00","Rs 259.35 (99.5%)","Rs 232.30 (78.69%)","","","May apply"
"Aelea Commodities Limited","SME","Jul 22, 2024","Rs 51.00 Cr","195.83x","Rs 95.00","Rs 173.25 (82.37%)","Rs 192.10 (102.21%)","Rs 191.00 (Jul 24, 2024)","Rs 156.75 (Jul 22, 2024)","Apply"
"Prizor Viztech Limited","SME","Jul 22, 2024","Rs 25.15 Cr","219.45x","Rs 87.00","Rs 173.55 (99.48%)","Rs 208.15 (139.25%)","","","Avoid"
"Sahaj Solar Limited","SME","Jul 19, 2024","Rs 52.56 Cr","507.21x","Rs 180.00","Rs 359.10 (99.5%)","Rs 458.20 (154.56%)","","","May apply"
"Effwa Infra & Research Limited","SME","Jul 12, 2024","Rs 51.27 Cr","313.65x","Rs 82.00","Rs 163.55 (99.45%)","Rs 253.45 (209.09%)","","","May apply"
"Ganesh Green Bharat Limited","SME","Jul 12, 2024","Rs 125.23 Cr","229.92x","Rs 190.00","Rs 398.00 (109.47%)","Rs 504.65 (165.61%)","","","Apply"
"Ambey Laboratories Limited","SME","Jul 11, 2024","Rs 44.68 Cr","173.18x","Rs 68.00","Rs 89.25 (31.25%)","Rs 78.65 (15.66%)","","","Avoid"
"Nephro Care India Limited","SME","Jul 05, 2024","Rs 41.26 Cr","715.78x","Rs 90.00","Rs 179.55 (99.5%)","Rs 312.45 (247.17%)","","","Avoid"
"Diensten Tech Limited","SME","Jul 03, 2024","Rs 22.08 Cr","53.94x","Rs 100.00","Rs 252.00 (152%)","Rs 200.35 (100.35%)","","","Avoid"
"Divine Power Energy Limited","SME","Jul 02, 2024","Rs 22.76 Cr","393.67x","Rs 40.00","Rs 152.30 (280.75%)","Rs 104.35 (160.88%)","","","May apply"
"Petro Carbon and Chemicals Limited","SME","Jul 02, 2024","Rs 113.16 Cr","92.01x","Rs 171.00","Rs 315.00 (84.21%)","Rs 337.00 (97.08%)","","","May apply"
"Akiko Global Services Limited","SME","Jul 02, 2024","Rs 23.11 Cr","34.96x","Rs 77.00","Rs 93.35 (21.23%)","Rs 78.10 (1.43%)","","","May apply"
"Sylvan Plyboard (India) Ltd","SME","Jul 01, 2024","Rs 28.05 Cr","84.03x","Rs 55.00","Rs 69.30 (26%)","Rs 120.00 (118.18%)","","","May apply"
"Mason Infratech Limited","SME","Jul 01, 2024","Rs 30.46 Cr","32.89x","Rs 64.00","Rs 92.40 (44.38%)","Rs 168.20 (162.81%)","","","May apply"
"Shivalic Power Control Limited","SME","Jul 01, 2024","Rs 64.32 Cr","257.24x","Rs 100.00","Rs 326.55 (226.55%)","Rs 319.85 (219.85%)","","","May apply"
"Visaman Global Sales Limited","SME","Jul 01, 2024","Rs 16.05 Cr","42.2x","Rs 43.00","Rs 47.35 (10.12%)","Rs 38.05 (-11.51%)","","","Avoid"
"Medicamen Organics Limited","SME","Jun 28, 2024","Rs 10.54 Cr","993.56x","Rs 34.00","Rs 144.70 (325.59%)","Rs 90.70 (166.76%)","","","May apply"
"Winny Immigration and Education Services Ltd","SME","Jun 27, 2024","Rs 9.13 Cr","154.67x","Rs 140.00","Rs 252.00 (80%)","Rs 290.20 (107.29%)","","","Avoid"
"Dindigul Farm Product Limited","SME","Jun 27, 2024","Rs 34.83 Cr","202.35x","Rs 54.00","Rs 107.73 (99.5%)","Rs 113.15 (109.54%)","Rs 144.20 (Jul 05, 2024)","Rs 102.60 (Jun 27, 2024)","Apply"
"Falcon Technoprojects India Limited","SME","Jun 26, 2024","Rs 13.69 Cr","65.32x","Rs 92.00","Rs 88.20 (-4.13%)","Rs 68.15 (-25.92%)","","","Avoid"
"GEM Enviro Management Limited","SME","Jun 26, 2024","Rs 44.93 Cr","265.13x","Rs 75.00","Rs 149.62 (99.49%)","Rs 265.70 (254.27%)","Rs 324.40 (Jul 16, 2024)","Rs 142.50 (Jun 26, 2024)","Apply"
"Durlax Top Surface Limited","SME","Jun 26, 2024","Rs 40.80 Cr","166.79x","Rs 68.00","Rs 103.55 (52.28%)","Rs 77.15 (13.46%)","","","May apply"
"GP Eco Solutions India Limited","SME","Jun 24, 2024","Rs 30.79 Cr","856.21x","Rs 94.00","Rs 393.75 (318.88%)","Rs 354.15 (276.76%)","","","May apply"
"United Cotfab Limited","SME","Jun 24, 2024","Rs 36.29 Cr","107.16x","Rs 70.00","Rs 78.75 (12.5%)","Rs 70.24 (0.34%)","Rs 83.40 (Jul 09, 2024)","Rs 66.54 (Jul 18, 2024)","May apply"
